Georgia,,4
TCU,,3
Michigan,,1
OSU,,0
Alabama,,1
Tennessee,,4
Penn St,,1
Washington,,4
Tulane,,1
Utah,,4
FSU,,2
USC,,2
Clemson,,2
Kansas St,,4
Oregon,,3
LSU,,4
Oregon St,,2
Notre Dame,,5
Troy,,2
Mississippi St,,5
UCLA,,2
Pitt,,3
S Carolina,,5
Fresno St,,4
Texas,,3
Cincinnati,,3
Baylor,,4
Oklahoma St,,5
Michigan St,,3
Oklahoma,,1
Ole Miss,,2
Florida,,2
Wake Forest,,5
Louisiana,,1
Houston,,3
Kentucky,,3
BYU,,4
NC State,,3
Arkansas,,4
Iowa,,4
Utah St,,5
SDSU,,4
Minnesota,,6
Wisconsin,,5
Auburn,,2
Memphis,,1
Indiana,,0
Navy,,5
Air Force,,4
Boise St,,3
UCF,,3
Washington St,,2
Syracuse,,2
Texas A&M,,3
Army,,4
West Virginia,,1
Northwestern,,4
Miami,,1
Stanford,,3
USF,,2
Virginia Tech,,4
WMU,,1
Colorado,,0
Louisville,,4
UNC,,2
Iowa St,,1
Arizona,,3
Georgia Tech,,2
Arizona St,,3
Missouri,,1
Duke,,4
Vanderbilt,,2
SJSU,,1
NIU,,0
Nebraska,,2
USM,,1
Nevada,,0
Maryland,,2
Tulsa,,1
Texas Tech,,4
CMU,,2
Kansas,,0
Boston College,,1
Hawaii,,2
Illinois,,0
Rutgers,,1
California,,2
Virginia,,1
M-Oh,,0
Purdue,,2
BGSU,,0
Colorado St,,1
Toledo,,1
Marshall,,4
Wyoming,,2
ECU,,2
App St,,1
WKU,,1
SMU,,1
