Conference,2022,2021,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
ReliaQuest,Mississippi St,Arkansas,Minnesota,Iowa,S Carolina,Florida,Tennessee,Wisconsin,LSU,S Carolina,Michigan St,Florida,Auburn,Iowa,Tennessee,Penn St,Florida,Georgia,Iowa,Michigan,S Carolina,S Carolina,Georgia,Penn St,Georgia,Alabama,Penn St,Wisconsin,Michigan,Tennessee,Syracuse,Clemson,Auburn,Syracuse,Michigan,Boston College,-,-,-,-,-,-
Pinstripe,Minnesota,Maryland,Michigan St,Wisconsin,Iowa,Northwestern,Duke,Penn St,Notre Dame,Syracuse,Rutgers,Syracuse,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Quick Lane,NMSU,WMU,Pitt,Minnesota,Duke,Boston College,Minnesota,Rutgers,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cheez-It,FSU,Clemson,Notre Dame,Syracuse,Oklahoma St,Miami,Baylor,Clemson,Louisville,Virginia Tech,FSU,NC State,Wisconsin,FSU,Boston College,Maryland,Clemson,Georgia Tech,NC State,Texas Tech,Pitt,NC State,Illinois,Miami,Georgia Tech,Miami,UNC,S Carolina,Boston College,Stanford,Alabama,FSU,-,-,-,-,-,-,-,-,-,-
Sun,Pitt,CMU,Arizona St,Stanford,NC State,Stanford,Washington St,Arizona St,UCLA,Georgia Tech,Utah,Notre Dame,Oklahoma,Oregon St,Oregon,Oregon St,UCLA,Arizona St,Minnesota,Purdue,Washington St,Wisconsin,Oregon,TCU,Arizona St,Stanford,Iowa,Texas,Oklahoma,Baylor,UCLA,Michigan St,Pitt,Alabama,Oklahoma St,Alabama,Georgia,Maryland,Alabama,UNC,Oklahoma,Nebraska
Belk,-,-,Kentucky,Virginia,Wake Forest,Virginia Tech,Mississippi St,Georgia,UNC,Cincinnati,NC State,USF,Pitt,West Virginia,Wake Forest,Boston College,NC State,Boston College,Virginia,Virginia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Redbox,-,-,California,Oregon,Purdue,Utah,Nebraska,Stanford,Washington,Arizona St,Illinois,Nevada,USC,California,Oregon St,FSU,Utah,Navy,Boston College,Virginia Tech,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Poinsettia,-,-,-,-,-,BYU,Boise St,Navy,Utah St,BYU,TCU,SDSU,Utah,TCU,Utah,TCU,Navy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gasparilla,Wake Forest,UCF,UCF,Marshall,Temple,Mississippi St,Marshall,NC State,ECU,UCF,Marshall,Louisville,Rutgers,USF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Idaho Potato,EMU,Wyoming,Ohio,BYU,Wyoming,Idaho,Akron,Air Force,SDSU,Utah St,Ohio,NIU,Idaho,Maryland,Fresno St,Miami,Boston College,Fresno St,Georgia Tech,Boise St,Clemson,Boise St,Boise St,Idaho,Cincinnati,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
